Country Code,Country,Year,Agriculture_fossil_co2,Buildings_fossil_co2,Dom_Avi_fossil_co2,Dom_Ship_fossil_co2,Energy_fossil_co2,Industry_fossil_co2,Transport_fossil_co2,Waste_fossil_co2,Agriculture_ch4_ar5,Buildings_ch4_ar5,Dom_Avi_ch4_ar5,Dom_Ship_ch4_ar5,Energy_ch4_ar5,Industry_ch4_ar5,Transport_ch4_ar5,Waste_ch4_ar5,Agriculture_n2o_ar5,Buildings_n2o_ar5,Dom_Avi_n2o_ar5,Dom_Ship_n2o_ar5,Energy_n2o_ar5,Indirect_n2o_ar5,Industry_n2o_ar5,Transport_n2o_ar5,Waste_n2o_ar5,Industry_f_gases_ar5,Agriculture_GWP_100_AR5_GHG,Buildings_GWP_100_AR5_GHG,Dom_Avi_GWP_100_AR5_GHG,Dom_Ship_GWP_100_AR5_GHG,Energy_GWP_100_AR5_GHG,Indirect_GWP_100_AR5_GHG,Industry_GWP_100_AR5_GHG,Transport_GWP_100_AR5_GHG,Waste_GWP_100_AR5_GHG,total_GWP_100_AR5_GHG,GDP,GDP_Per_Capita,Labour_Force,Population
GRC,Greece,1992,592.42857006,8002.7690768,0.0,0.0,36784.96002436,18394.17876885,12910.9141991,0.139425001,4870.69329094,267.415030133,0.0,0.0,14.303441137,3308.27842872,121.089767287,4163.52704843,3673.88732615,307.77137031,0.0,0.0,123.079461864,441.73419642,977.373358933,152.214671555,194.876555695,2029.91988536,9137.00918736,8577.9554773,0.0,0.0,36922.34293095,441.73419642,24709.75043981,13184.2186376,4358.54302904,97331.5538894,114608000000.0,11021.01222,4229204.0,10399061
GRC,Greece,1993,471.428570337,7862.7714022,0.0,0.0,36801.00689381,17956.68758969,13207.1114324,0.139425001,4894.2198308,267.243419285,0.0,0.0,13.910160334,3328.5318500000003,120.667884982,4232.73850615,3349.0390972,301.18999084,0.0,0.0,122.27967767899999,430.70156677,937.0797419190001,159.510991921,198.195734945,2762.21484754,8714.68749762,8431.2048115,0.0,0.0,36937.19673099,430.70156677,24984.51402847,13487.2903069,4431.07366643,97416.6686029,107296000000.0,10257.30858,4259293.0,10460415
GRC,Greece,1994,546.857141787,7923.3161113999995,0.0,0.0,38068.39960904,18079.815508120002,13401.7706159,0.139425001,4910.74383877,267.06296011899997,0.0,0.0,14.980837465,3389.43212085,118.801485355,4322.18812586,3481.93794244,303.25778245,0.0,0.0,128.137842387,439.01804739,916.4801524449999,167.204645249,200.267528919,3342.55167021,8939.5389223,8493.636854,0.0,0.0,38211.518285239996,439.01804739,25728.27945221,13687.7767475,4522.5950789,100022.3633854,114980000000.0,10937.02238,4350080.0,10512922
GRC,Greece,1995,468.28571322799996,7996.1878642,0.0,0.0,39746.44617776,19330.03165295,13800.4906831,0.139425001,4936.2060524,266.181023503,0.0,0.0,15.216084953,3437.0293306900003,118.383514176,4437.15120304,3329.67581761,285.032607757,0.0,0.0,133.048235327,445.45353437,915.471685753,173.279178528,202.123492548,4581.09363225,8734.167583120001,8547.401495,0.0,0.0,39894.71050099,445.45353437,28263.6263029,14092.153379,4639.414120179999,104616.9269125,134975000000.0,12779.08149,4416028.0,10562153
GRC,Greece,1996,542.142855783,9880.1561298,0.0,0.0,36342.63567345,20289.02717203,14462.350733899999,0.139425001,4968.63837036,272.07529523299996,0.0,0.0,14.45305531,3407.48818378,118.907281498,4554.95003453,3469.29475313,293.056454565,0.0,0.0,121.104179064,438.67749488,1024.315811843,183.051140794,204.27526622599999,5134.29698682,8980.07597966,10445.2878791,0.0,0.0,36478.19291387,438.67749488,29855.128151700002,14764.3091558,4759.3647266,105721.0363095,142503000000.0,13432.52622,4513321.0,10608800
GRC,Greece,1997,490.285713205,10142.4741527,0.0,0.0,36344.22441246,20438.82985049,14783.0498565,0.139425001,4959.80179497,272.017118882,0.0,0.0,14.756913632,3522.4214066100003,115.74688695,4702.44245761,3330.37141276,293.247349575,0.0,0.0,121.33129325300001,434.0223469,920.2885232570001,186.982011815,208.39981501,5383.00772454,8780.45892048,10707.738621,0.0,0.0,36480.31261891,434.0223469,30264.5475052,15085.778756,4910.9816968800005,106663.8404728,138766000000.0,13015.9175,4531066.0,10661259
GRC,Greece,1998,376.09523700200003,10492.9723577,0.0,0.0,37692.10549851,20662.71557295,15524.7429915,0.139425001,4931.84325067,271.507691924,0.0,0.0,15.905344653,3624.93448464,114.428437841,4812.50427005,3245.65672471,294.133311539,0.0,0.0,124.794947622,480.64604594,787.058783661,195.03815118400001,213.197815255,6009.49145484,8553.59521182,11058.613360899999,0.0,0.0,37832.80579359,480.64604594,31084.2002976,15834.20958,5025.841510329999,109869.911796,139613000000.0,13022.96488,4657316.0,10720509
GRC,Greece,1999,373.99999890099997,10319.6691128,0.0,0.0,39392.87728799,19206.79198186,15794.8104656,0.139425001,4909.31707946,268.330370341,0.0,0.0,17.921837729,3551.80274785,109.960741746,4929.62990587,3257.44252895,293.745296806,0.0,0.0,127.10677377500001,470.62379369,807.640016659,197.86634267,216.020545986,6831.95367315,8540.75960707,10881.744779,0.0,0.0,39537.905893179995,470.62379369,30398.1884199,16102.637551599999,5145.78987746,111077.64993,137131000000.0,12742.54044,4664083.0,10761698
GRC,Greece,2000,371.904760235,10925.1571859,0.0,0.0,44708.53824512,20976.24441496,15984.8089587,0.139425001,4939.37192249,268.81092114800003,0.0,0.0,20.352468629999997,3605.89887409,105.593774885,5087.23081257,3213.2376797,295.048568592,0.0,0.0,142.98935958200002,449.58927486,828.5486838009999,200.95785028199998,218.68479861100002,5597.46096823,8524.51436212,11489.0166759,0.0,0.0,44871.88007641,449.58927486,31008.152939699998,16291.360583599999,5306.055035580001,117940.568946,125760000000.0,11638.20107,4679182.0,10805808
GRC,Greece,2001,339.428570338,11766.7989668,0.0,0.0,45138.5116258,21095.88063565,16343.1191096,0.139425001,4872.17652498,269.54191919699997,0.0,0.0,20.180599111,3611.84939401,104.09192116700001,4552.04760851,3078.58013387,299.996854356,0.0,0.0,144.76414499,457.95253169,723.8603899350001,201.167997912,217.000875979,5007.41052874,8290.18522798,12336.3377401,0.0,0.0,45303.4563633,457.95253169,30439.0009487,16648.3790301,4769.187909990001,118244.499757,132050000000.0,12156.95728,4642262.0,10862132
